node_id,node_label,node_name,unique_key,env_code,app_code,component_code,cluster_id,namespace,owner_team,lifecycle_status,health_status,risk_level,inspection_status,last_inspected_at,source_system,source_ref,attrs_json
env:prod,Environment,生产环境,prod,prod,,,,,SRE,active,normal,low,passed,2026-06-15T09:00:00+08:00,CMDB,env/prod,"{""env_type"": ""prod""}"
app:order,Application,订单应用,order,prod,order,,,,订单团队,active,warning,medium,partial,2026-06-15T09:00:00+08:00,ServiceCatalog,apps/order,"{""sla_level"": ""P1""}"
comp:order-api,ApplicationComponent,订单API组件,order-api,prod,order,order-api,,,订单团队,active,warning,medium,partial,2026-06-15T09:00:00+08:00,ServiceCatalog,apps/order/components/order-api,"{""runtime_type"": ""java""}"
cluster:cce-prod-01,KubernetesCluster,生产K8s集群01,cce-prod-01,prod,,,cce-prod-01,,平台团队,active,normal,low,passed,2026-06-15T09:00:00+08:00,Kubernetes,clusters/cce-prod-01,"{""version"": ""1.29""}"
ns:cce-prod-01:order,Namespace,order,cce-prod-01/order,prod,order,,cce-prod-01,order,订单团队,active,normal,low,passed,2026-06-15T09:00:00+08:00,Kubernetes,namespaces/order,"{""quota"": ""cpu=20,memory=64Gi""}"
deploy:cce-prod-01:order:order-api,Deployment,order-api,cce-prod-01/order/order-api,prod,order,order-api,cce-prod-01,order,订单团队,active,warning,medium,failed,2026-06-15T09:00:00+08:00,Kubernetes,deployment/order/order-api,"{""desired_replicas"": 3, ""available_replicas"": 2}"
svc:cce-prod-01:order:order-api,Service,order-api-svc,cce-prod-01/order/order-api-svc,prod,order,order-api,cce-prod-01,order,订单团队,active,normal,low,passed,2026-06-15T09:00:00+08:00,Kubernetes,service/order/order-api-svc,"{""type"": ""ClusterIP"", ""ports"": [80]}"
ing:cce-prod-01:order:order-api,Ingress,order-api-ing,cce-prod-01/order/order-api-ing,prod,order,order-api,cce-prod-01,order,订单团队,active,normal,low,passed,2026-06-15T09:00:00+08:00,Kubernetes,ingress/order/order-api-ing,"{""host"": ""order.example.com"", ""tls"": true}"
cm:cce-prod-01:order:order-api-config,ConfigMap,order-api-config,cce-prod-01/order/order-api-config,prod,order,order-api,cce-prod-01,order,订单团队,active,normal,low,passed,2026-06-15T09:00:00+08:00,Kubernetes,configmap/order/order-api-config,"{""data_keys"": [""app.yaml""]}"
secret:cce-prod-01:order:order-api-secret,Secret,order-api-secret,cce-prod-01/order/order-api-secret,prod,order,order-api,cce-prod-01,order,订单团队,active,warning,medium,failed,2026-06-15T09:00:00+08:00,Kubernetes,secret/order/order-api-secret,"{""expiry_days"": 14}"
registry:harbor-prod,ContainerRegistry,生产Harbor仓库,harbor-prod,prod,,,,,平台团队,active,normal,low,passed,2026-06-15T09:00:00+08:00,Harbor,registries/harbor-prod,"{""url"": ""harbor.example.com""}"
image:order-api:1.2.3,ContainerImage,order-api:1.2.3,harbor.example.com/order/order-api@sha256:abc,prod,order,order-api,,,订单团队,active,warning,medium,failed,2026-06-15T09:00:00+08:00,Harbor,images/order-api/1.2.3,"{""critical_vulns"": 1, ""tag"": ""1.2.3""}"
alert:order-api-availability,AlertRule,订单API可用性告警,order-api-availability,prod,order,order-api,,,SRE,active,normal,low,passed,2026-06-15T09:00:00+08:00,Prometheus,rules/order-api-availability,"{""severity"": ""critical""}"
dash:order-api-overview,Dashboard,订单API总览仪表盘,order-api-overview,prod,order,order-api,,,SRE,active,normal,low,passed,2026-06-15T09:00:00+08:00,Grafana,dashboards/order-api-overview,"{""url"": ""https://grafana.example.com/d/order-api""}"
