edge_id,source_node_id,relationship_type,target_node_id,relationship_name,dependency_strength,is_required,discovery_method,health_status,risk_signal,last_verified_at,attrs_json
e101,deploy:cce-prod-01:order:order-api,CONTAINS,pod:cce-prod-01:order:order-api-6fd9c8b7c9-abcde,包含,强,是,Kubernetes API,normal,,2026-06-15T10:00:00+08:00,{}
e102,deploy:cce-prod-01:order:order-api,CONTAINS,pod:cce-prod-01:order:order-api-6fd9c8b7c9-abcdz,包含,强,是,Kubernetes API,normal,,2026-06-15T10:00:00+08:00,{}
e103,deploy:cce-prod-01:order:order-api,CONTAINS,pod:cce-prod-01:order:order-api-6fd9c8b7c9-abcdf,包含,强,是,Kubernetes API,normal,,2026-06-15T10:00:00+08:00,{}
e104,deploy:cce-prod-01:order:order-api,CONTAINS,pod:cce-prod-01:order:order-api-6fd9c8b7c9-abcdg,包含,强,是,Kubernetes API,normal,,2026-06-15T10:00:00+08:00,{}
e105,deploy:cce-prod-01:order:order-api,CONTAINS,pod:cce-prod-01:order:order-api-6fd9c8b7c9-abcdh,包含,强,是,Kubernetes API,normal,,2026-06-15T10:00:00+08:00,{}
e106,deploy:cce-prod-01:order:order-api,CONTAINS,pod:cce-prod-01:order:order-api-6fd9c8b7c9-abcdi,包含,强,是,Kubernetes API,normal,,2026-06-15T10:00:00+08:00,{}
e107,deploy:cce-prod-01:order:order-api,CONTAINS,pod:cce-prod-01:order:order-api-6fd9c8b7c9-abcdj,包含,强,是,Kubernetes API,warning,"Pod Pending, 重启0次",2026-06-15T10:00:00+08:00,{}
e108,deploy:cce-prod-01:order:order-api,CONTAINS,pod:cce-prod-01:order:order-api-6fd9c8b7c9-abcdk,包含,强,是,Kubernetes API,normal,,2026-06-15T10:00:00+08:00,{}
e109,deploy:cce-prod-01:order:order-api,CONTAINS,pod:cce-prod-01:order:order-api-6fd9c8b7c9-abcdl,包含,强,是,Kubernetes API,normal,,2026-06-15T10:00:00+08:00,{}
e110,pod:cce-prod-01:order:order-api-6fd9c8b7c9-abcde,RUNS,container:cce-prod-01:order:order-api-6fd9c8b7c9-abcde:order-api,运行,强,是,Kubernetes API,normal,,2026-06-15T10:00:00+08:00,{}
