snapshot_id,resource_id,metric_name,metric_query_id,current_value,unit,fetched_at,ttl_seconds,is_stale,warning_breached,critical_breached
snap_pod:cce-prod-01:order:order-api-6fd9c8b7c9-abcde_cpu_20260615100000,pod:cce-prod-01:order:order-api-6fd9c8b7c9-abcde,cpu_usage,mq-cpu-usage,45.2,percent,2026-06-15T10:00:00+08:00,300,false,false,false
snap_pod:cce-prod-01:order:order-api-6fd9c8b7c9-abcde_memory_20260615100000,pod:cce-prod-01:order:order-api-6fd9c8b7c9-abcde,memory_usage,mq-memory-usage,62.8,percent,2026-06-15T10:00:00+08:00,300,false,false,false
snap_pod:cce-prod-01:order:order-api-6fd9c8b7c9-abcde_qps_20260615100000,pod:cce-prod-01:order:order-api-6fd9c8b7c9-abcde,qps,mq-qps,1250.0,requests/s,2026-06-15T10:00:00+08:00,300,false,false,false
snap_pod:cce-prod-01:order:order-api-6fd9c8b7c9-abcde_error_rate_20260615100000,pod:cce-prod-01:order:order-api-6fd9c8b7c9-abcde,error_rate,mq-error-rate,0.002,fraction,2026-06-15T10:00:00+08:00,300,false,false,false
snap_pod:cce-prod-01:order:order-api-6fd9c8b7c9-abcde_restart_20260615100000,pod:cce-prod-01:order:order-api-6fd9c8b7c9-abcde,restart_count,mq-restart-count,1,count,2026-06-15T10:00:00+08:00,600,false,false,false
snap_pod:cce-prod-01:order:order-api-6fd9c8b7c9-abcdz_cpu_20260615100000,pod:cce-prod-01:order:order-api-6fd9c8b7c9-abcdz,cpu_usage,mq-cpu-usage,32.1,percent,2026-06-15T10:00:00+08:00,300,false,false,false
snap_pod:cce-prod-01:order:order-api-6fd9c8b7c9-abcdz_memory_20260615100000,pod:cce-prod-01:order:order-api-6fd9c8b7c9-abcdz,memory_usage,mq-memory-usage,55.3,percent,2026-06-15T10:00:00+08:00,300,false,false,false
snap_pod:cce-prod-01:order:order-api-6fd9c8b7c9-abcdz_qps_20260615100000,pod:cce-prod-01:order:order-api-6fd9c8b7c9-abcdz,qps,mq-qps,1180.0,requests/s,2026-06-15T10:00:00+08:00,300,false,false,false
snap_pod:cce-prod-01:order:order-api-6fd9c8b7c9-abcdz_error_rate_20260615100000,pod:cce-prod-01:order:order-api-6fd9c8b7c9-abcdz,error_rate,mq-error-rate,0.001,fraction,2026-06-15T10:00:00+08:00,300,false,false,false
snap_pod:cce-prod-01:order:order-api-6fd9c8b7c9-abcdz_restart_20260615100000,pod:cce-prod-01:order:order-api-6fd9c8b7c9-abcdz,restart_count,mq-restart-count,0,count,2026-06-15T10:00:00+08:00,600,false,false,false
snap_pod:cce-prod-01:order:order-api-6fd9c8b7c9-abcdf_cpu_20260615100000,pod:cce-prod-01:order:order-api-6fd9c8b7c9-abcdf,cpu_usage,mq-cpu-usage,86.5,percent,2026-06-15T10:00:00+08:00,300,false,true,false
snap_pod:cce-prod-01:order:order-api-6fd9c8b7c9-abcdf_memory_20260615100000,pod:cce-prod-01:order:order-api-6fd9c8b7c9-abcdf,memory_usage,mq-memory-usage,72.3,percent,2026-06-15T10:00:00+08:00,300,false,false,false
snap_pod:cce-prod-01:order:order-api-6fd9c8b7c9-abcdf_qps_20260615100000,pod:cce-prod-01:order:order-api-6fd9c8b7c9-abcdf,qps,mq-qps,1320.0,requests/s,2026-06-15T10:00:00+08:00,300,false,false,false
